NAME,W,L,,,NAME,W,L,% W,,NAME,TOT,W,L,% W
Brad Wanamaker,3,2,60.00%,,Terrence Jones,2,3,40.00%,,,,,,
Johnny Macknowski,2,2,50.00%,,Dejounte Murray,2,3,40.00%,,,,,,
Johnny Norlander,2,2,50.00%,,Matisse Thybulle,2,3,40.00%,,,,,,
Toby Kimball,2,2,50.00%,,Austin Reaves,2,3,40.00%,,,,,,
Don May,3,2,60.00%,,Ed Kalafat,2,3,40.00%,,,,,,
Winston Garland,2,2,50.00%,,Ollie Johnson,2,3,40.00%,,,,,,
Matt Maloney,2,2,50.00%,,Bob Wilkerson,2,3,40.00%,,,,,,
Frank Kaminsky,2,2,50.00%,,Reggie Williams (1964),2,3,40.00%,,,,,,
Tariq Abdul-Wahad,2,2,50.00%,,Eldridge Recasner,2,3,40.00%,,,,,,
Bostjan Nachbar,2,2,50.00%,,Isaiah Rider,2,3,40.00%,,,,,,
Martell Webster,2,2,50.00%,,Steven Hunter,2,3,40.00%,,,,,,
Ramon Sessions,2,2,50.00%,,Von Wafer,2,3,40.00%,,,,,,
DeAndre Liggins,2,2,50.00%,,Tim Frazier,2,3,40.00%,,,,,,
Jeremy Lamb,2,2,50.00%,,Jordan McLaughlin,2,3,40.00%,,,,,,
Chris Boucher,2,2,50.00%,,Joe Holup,2,3,40.00%,,,,,,
Mickey Davis,2,2,50.00%,,Glen Gondrezick,2,3,40.00%,,,,,,
Irv Rothenberg,1,2,33.33%,,Pat Burke,2,3,40.00%,,,,,,
Cliff Barker,1,2,33.33%,,Kevin Seraphin,2,3,40.00%,,,,,,
Ralph Beard,1,2,33.33%,,Chuck Gilmur,2,3,40.00%,,,,,,
Alex Groza,1,2,33.33%,,Zaid Abdul-Aziz,2,3,40.00%,,,,,,
Red Morrison,1,2,33.33%,,Don Ford,2,3,40.00%,,,,,,
Rod Thorn,2,2,50.00%,,Charles Pittman,2,3,40.00%,,,,,,
Ernie DiGregorio,1,2,33.33%,,Kevin Williams,2,3,40.00%,,,,,,
Tal Skinner,1,2,33.33%,,Mario West,2,3,40.00%,,,,,,
Tom Burleson,1,2,33.33%,,Jakob Poeltl,2,3,40.00%,,,,,,
Al Eberhard,1,2,33.33%,,Eddie Lee Wilkins,2,3,40.00%,,,,,,
John Shumate,1,2,33.33%,,Nikola Jovic,2,3,40.00%,,,,,,
Mack Calvin,1,2,33.33%,,Zoran Planinic,2,3,40.00%,,,,,,
Mike Green,1,2,33.33%,,Anfernee Simons,2,3,40.00%,,,,,,
Anthony Roberts,1,2,33.33%,,Terry Driscoll,2,3,40.00%,,,,,,
Darnell Hillman,1,2,33.33%,,Steve Alford,2,3,40.00%,,,,,,
Bo Ellis,1,2,33.33%,,Bill Closs,2,3,40.00%,,,,,,
Edgar Jones,1,2,33.33%,,Jake Layman,2,3,40.00%,,,,,,
Joe Kopicki,2,2,50.00%,,Roger Phegley,2,3,40.00%,,,,,,
Mel Turpin,1,2,33.33%,,Joe Wolf,2,3,40.00%,,,,,,
Kenny Gattison,1,2,33.33%,,Tree Rollins,9,14,39.13%,,,,,,
LaPhonso Ellis,1,2,33.33%,,Red Kerr,7,11,38.89%,,,,,,
Jim McIlvaine,2,2,50.00%,,Sedale Threatt,7,11,38.89%,,,,,,
Quincy Lewis,1,2,33.33%,,Eddie Jones,7,11,38.89%,,,,,,
Damien Wilkins,2,2,50.00%,,Larry Foust,7,11,38.89%,,,,,,
Andris Biedrins,1,2,33.33%,,Andy Phillip,7,11,38.89%,,,,,,
Hamed Haddadi,1,2,33.33%,,Steven Adams,5,8,38.46%,,,,,,
Alan Anderson,1,2,33.33%,,Joakim Noah,5,8,38.46%,,,,,,
Trevor Booker,1,2,33.33%,,Frank Johnson,5,8,38.46%,,,,,,
Tomas Satoransky,1,2,33.33%,,Mike Evans,5,8,38.46%,,,,,,
Rodney McGruder,1,2,33.33%,,Josh Smith,5,8,38.46%,,,,,,
Markelle Fultz,1,2,33.33%,,Rickey Green,5,8,38.46%,,,,,,
Ben McLemore,1,2,33.33%,,Brandon Bass,5,8,38.46%,,,,,,
Javonte Green,2,2,50.00%,,Amir Johnson,5,8,38.46%,,,,,,
Immanuel Quickley,1,2,33.33%,,Fat Lever,5,8,38.46%,,,,,,
RJ Barrett,1,2,33.33%,,Mike Scott,5,8,38.46%,,,,,,
Ziaire Williams,1,2,33.33%,,Evan Turner,5,8,38.46%,,,,,,
Buddy Hield,1,2,33.33%,,Amare Stoudemire,6,10,37.50%,,,,,,
Julian Strawther,1,2,33.33%,,Aaron McKie,6,10,37.50%,,,,,,
Barney Cable,1,2,33.33%,,Alex English,6,10,37.50%,,,,,,
Larry McNeill,1,2,33.33%,,Dave Corzine,6,10,37.50%,,,,,,
Jack Givens,1,2,33.33%,,Spud Webb,3,5,37.50%,,,,,,
Rob Williams,1,2,33.33%,,Quentin Richardson,3,5,37.50%,,,,,,
Lloyd Daniels,1,2,33.33%,,Brad Daugherty,3,5,37.50%,,,,,,
Darrin Hancock,1,2,33.33%,,Malik Beasley,3,5,37.50%,,,,,,
Eddie Robinson,1,2,33.33%,,Ray Felix,3,5,37.50%,,,,,,
AJ Price,1,2,33.33%,,World B. Free,3,5,37.50%,,,,,,
Kris Dunn,1,2,33.33%,,Bob Brannum,3,5,37.50%,,,,,,
Bob Doll,0,2,0.00%,,Johnny Moore,3,5,37.50%,,,,,,
Don Martin,0,2,0.00%,,Duane Ferrell,3,5,37.50%,,,,,,
George Munroe,0,2,0.00%,,Elton Brand,3,5,37.50%,,,,,,
Buddy O'Grady,0,2,0.00%,,Malcolm Brogdon,3,5,37.50%,,,,,,
Mel Riebe,0,2,0.00%,,Larry Smith,3,5,37.50%,,,,,,
Giff Roux,0,2,0.00%,,Togo Palazzi,3,5,37.50%,,,,,,
Sid Tanenbaum,0,2,0.00%,,Derrick Favors,3,5,37.50%,,,,,,
Walt Budko,0,2,0.00%,,Paul Walther,3,5,37.50%,,,,,,
Howard Komives,0,2,0.00%,,Chuck Cooper,3,5,37.50%,,,,,,
Jimmy Walker,0,2,0.00%,,Gus Johnson,3,5,37.50%,,,,,,
Stu Lantz,0,2,0.00%,,Rory Sparrow,3,5,37.50%,,,,,,
Neal Walk,0,2,0.00%,,Ed Davis,3,5,37.50%,,,,,,
Connie Hawkins,0,2,0.00%,,Ron Williams,3,5,37.50%,,,,,,
Gary Brokaw,0,2,0.00%,,Montrezl Harrell,3,5,37.50%,,,,,,
Richard Washington,0,2,0.00%,,Al-Farouq Aminu,3,5,37.50%,,,,,,
Bill Robinzine,0,2,0.00%,,Seth Curry,3,5,37.50%,,,,,,
Gus Gerard,0,2,0.00%,,Kurt Nimphius,3,5,37.50%,,,,,,
Billy Ray Bates,0,2,0.00%,,Darrick Martin,3,5,37.50%,,,,,,
Paul Griffin,0,2,0.00%,,Bob Harris,3,5,37.50%,,,,,,
Rickey Brown,0,2,0.00%,,Joe Harris,3,5,37.50%,,,,,,
Roy Hinson,0,2,0.00%,,Chucky Atkins,3,5,37.50%,,,,,,
Carey Scurry,0,2,0.00%,,Doug McDermott,3,5,37.50%,,,,,,
Derrick Chievous,0,2,0.00%,,Dave Greenwood,3,5,37.50%,,,,,,
Michael Smith (1965),0,2,0.00%,,Ishmael Smith,3,5,37.50%,,,,,,
Dontonio Wingfield,0,2,0.00%,,Hal Greer,7,12,36.84%,,,,,,
Brent Price,0,2,0.00%,,Chet Walker,7,12,36.84%,,,,,,
Ron Mercer,0,2,0.00%,,T.R. Dunn,7,12,36.84%,,,,,,
Smush Parker,0,2,0.00%,,Stacey Augmon,7,12,36.84%,,,,,,
Charlie Bell,0,2,0.00%,,Dan Issel,4,7,36.36%,,,,,,
Andrea Bargnani,0,2,0.00%,,Al Harrington,4,7,36.36%,,,,,,
Luther Head,0,2,0.00%,,Andrei Kirilenko,4,7,36.36%,,,,,,
Aaron Gray,0,2,0.00%,,Caron Butler,4,7,36.36%,,,,,,
Julyan Stone,0,2,0.00%,,Clyde Lee,4,7,36.36%,,,,,,
Ivan Johnson,0,2,0.00%,,Calvin Natt,4,7,36.36%,,,,,,
Wesley Johnson,0,2,0.00%,,Derrick Rose,4,7,36.36%,,,,,,
Alex Abrines,0,2,0.00%,,Jamaal Magloire,4,7,36.36%,,,,,,
Wesley Iwundu,0,2,0.00%,,Xavier McDaniel,4,7,36.36%,,,,,,
MarJon Beauchamp,0,2,0.00%,,Michael Cage,4,7,36.36%,,,,,,
Franz Wagner,0,2,0.00%,,Tim Thomas,4,7,36.36%,,,,,,
Cole Anthony,0,2,0.00%,,Marvin Williams,4,7,36.36%,,,,,,
Paolo Banchero,0,2,0.00%,,Darrall Imhoff,4,7,36.36%,,,,,,
Wendell Carter Jr,0,2,0.00%,,Arvydas Sabonis,4,7,36.36%,,,,,,
AJ Green,0,2,0.00%,,Ersan Ilyasova,4,7,36.36%,,,,,,
Caleb Houstan,0,2,0.00%,,DeMar DeRozan,4,7,36.36%,,,,,,
Jericho Sims,0,2,0.00%,,Richie Guerin,4,7,36.36%,,,,,,
Stacey King,14,2,87.50%,,John Crotty,4,7,36.36%,,,,,,
Didier Ilunga-Mbenga,11,2,84.62%,,Thurl Bailey,5,9,35.71%,,,,,,
Leon Powe,6,2,75.00%,,Jerry Stackhouse,5,9,35.71%,,,,,,
Andrew Nembhard,5,2,71.43%,,Kirk Hinrich,5,9,35.71%,,,,,,
Ben Sheppard,5,2,71.43%,,Harvey Catchings,5,9,35.71%,,,,,,
Tyrese Haliburton,5,2,71.43%,,Jim King,5,9,35.71%,,,,,,
Kevin Stacom,5,2,71.43%,,Dennis Schroeder,5,9,35.71%,,,,,,
Nick Young,5,2,71.43%,,Blake Griffin,5,9,35.71%,,,,,,
Nemanja Bjelica,4,2,66.67%,,James Donaldson,5,9,35.71%,,,,,,
Nate Bowman,4,2,66.67%,,Joe Graboski,5,9,35.71%,,,,,,
Angelo Musi,4,2,66.67%,,Marcus Camby,6,11,35.29%,,,,,,
Howie Dallmar,4,2,66.67%,,Vince Carter,6,11,35.29%,,,,,,
Darko Milicic,6,2,75.00%,,Jermaine O'Neal,7,14,33.33%,,,,,,
Dario Saric,4,2,66.67%,,Danny Schayes,6,12,33.33%,,,,,,
Thomas Bryant,4,2,66.67%,,Chris Dudley,6,12,33.33%,,,,,,
Jonathon Simmons,4,2,66.67%,,Louis Williams,5,10,33.33%,,,,,,
Clay Johnson,5,2,71.43%,,Joe Smith,5,10,33.33%,,,,,,
Dirk Minniefield,3,2,60.00%,,Donovan Mitchell,4,8,33.33%,,,,,,
Tony Massenburg,4,2,66.67%,,Jamal Crawford,4,8,33.33%,,,,,,
Eric Williams,3,2,60.00%,,Austin Rivers,4,8,33.33%,,,,,,
Darrell Arthur,3,2,60.00%,,Darrell Armstrong,4,8,33.33%,,,,,,
Randy Foye,3,2,60.00%,,Devin Harris,4,8,33.33%,,,,,,
Cornell Warner,3,2,60.00%,,Tobias Harris,4,8,33.33%,,,,,,
Dick Gibbs,3,2,60.00%,,Sidney Green,4,8,33.33%,,,,,,
Reggie Johnson,4,2,66.67%,,Mookie Blaylock,4,8,33.33%,,,,,,
Chick Reiser,3,2,60.00%,,Bobby Jackson,4,8,33.33%,,,,,,
Tex Ritter,4,2,66.67%,,Bob Weiss,4,8,33.33%,,,,,,
Hawthorne Wingo,3,2,60.00%,,Chuck Person,4,8,33.33%,,,,,,
Ira Newble,4,2,66.67%,,Gerald Wilkins,4,8,33.33%,,,,,,
Justin Holiday,4,2,66.67%,,JaMychal Green,4,8,33.33%,,,,,,
Alfonzo McKinnie,3,2,60.00%,,George Yardley,4,8,33.33%,,,,,,
Kendrick Nunn,3,2,60.00%,,Fred Scolari,4,8,33.33%,,,,,,
Luka Garza,4,2,66.67%,,Jonas Valanciunas,4,8,33.33%,,,,,,
Willie McCarter,3,2,60.00%,,Matt Harpring,3,6,33.33%,,,,,,
McCoy McLemore,3,2,60.00%,,Ivica Zubac,3,6,33.33%,,,,,,
Nate Hawthorne,2,2,50.00%,,Kenny Carr,3,6,33.33%,,,,,,
Calvin Garrett,3,2,60.00%,,Johnny Newman,3,6,33.33%,,,,,,
Jim Seminoff,2,2,50.00%,,Bob Ferry,3,6,33.33%,,,,,,
Mickey Rottner,2,2,50.00%,,Bojan Bogdanovic,3,6,33.33%,,,,,,
Bayard Forrest,2,2,50.00%,,Terrence Ross,3,6,33.33%,,,,,,
James Bailey,2,2,50.00%,,Bradley Beal,3,6,33.33%,,,,,,
Rod Foster,2,2,50.00%,,Jameer Nelson,3,6,33.33%,,,,,,
Willie White,3,2,60.00%,,Randy Wittman,3,6,33.33%,,,,,,
Mark Acres,2,2,50.00%,,Tyler Hansbrough,3,6,33.33%,,,,,,
Greg Grant,2,2,50.00%,,Joe Ellis,3,6,33.33%,,,,,,
Bob Thornton,2,2,50.00%,,Darrell Griffith,3,6,33.33%,,,,,,
Tamar Slay,4,2,66.67%,,Rod Higgins,3,6,33.33%,,,,,,
Cedi Osman,3,2,60.00%,,Jose Calderon,3,6,33.33%,,,,,,
Wang Zhizhi,3,2,60.00%,,Jamaal Tinsley,3,6,33.33%,,,,,,
Chris Kaman,2,2,50.00%,,Shake Milton,3,6,33.33%,,,,,,
Greg Stiemsma,2,2,50.00%,,Fast Eddie Johnson,3,6,33.33%,,,,,,
Pero Antic,2,2,50.00%,,Mike Mitchell,3,6,33.33%,,,,,,
Anthony Morrow,2,2,50.00%,,Tony Smith,3,6,33.33%,,,,,,
Lonnie Walker,2,2,50.00%,,Kevin Loughery,3,6,33.33%,,,,,,
PJ Dozier,2,2,50.00%,,Michael Curry,3,6,33.33%,,,,,,
Erwin Mueller,2,2,50.00%,,Dick Van Arsdale,2,4,33.33%,,,,,,
Eddie Jordan,2,2,50.00%,,Sam Lacey,2,4,33.33%,,,,,,
Granville Waiters,3,2,60.00%,,Voshon Lenard,2,4,33.33%,,,,,,
Hank McDowell,2,2,50.00%,,Danny Granger,2,4,33.33%,,,,,,
Dick O'Keefe,2,2,50.00%,,Carl Landry,2,4,33.33%,,,,,,
Leo Katkaveck,2,2,50.00%,,Jerami Grant,2,4,33.33%,,,,,,
Don Barksdale,2,2,50.00%,,Bogdan Bogdanovic,2,4,33.33%,,,,,,
Sam Williams,2,2,50.00%,,Paul Neumann,2,4,33.33%,,,,,,
Derek Smith,2,2,50.00%,,Noble Jorgensen,2,4,33.33%,,,,,,
Cole Aldrich,3,2,60.00%,,Curtis Rowe,2,4,33.33%,,,,,,
Juan Dixon,2,2,50.00%,,Darnell Valentine,2,4,33.33%,,,,,,
Kyle Singler,2,2,50.00%,,Clem Haskins,2,4,33.33%,,,,,,
Noah Vonleh,2,2,50.00%,,Jim Price,2,4,33.33%,,,,,,
TJ Warren,3,2,60.00%,,Robert Smith,2,4,33.33%,,,,,,
Ishmail Wainright,2,2,50.00%,,Linas Kleiza,2,4,33.33%,,,,,,
Al Masino,2,2,50.00%,,Will Barton,2,4,33.33%,,,,,,
Corky Devlin,1,2,33.33%,,Robert Covington,2,4,33.33%,,,,,,
Kenny Sears,1,2,33.33%,,D'Angelo Russell,2,4,33.33%,,,,,,
Tommy Byrnes,1,2,33.33%,,Rui Hachimura,2,4,33.33%,,,,,,
Bruce Hale,1,2,33.33%,,Precious Achiuwa,2,4,33.33%,,,,,,
Wah Wah Jones,1,2,33.33%,,Kenny Walker,2,4,33.33%,,,,,,
Andy Johnson,1,2,33.33%,,Kenny Williams,2,4,33.33%,,,,,,
Joe Ruklick,2,2,50.00%,,Kemba Walker,2,4,33.33%,,,,,,
Jay Arnette,1,2,33.33%,,Troy Daniels,2,4,33.33%,,,,,,
Roger Brown,1,2,33.33%,,Tyler Johnson,2,4,33.33%,,,,,,
Tom Abernethy,1,2,33.33%,,Jarrett Allen,2,4,33.33%,,,,,,
Charles Bradley,2,2,50.00%,,De'Anthony Melton,2,4,33.33%,,,,,,
Petur Gudmundsson,2,2,50.00%,,Charlie Criss,2,4,33.33%,,,,,,
Stuart Gray,1,2,33.33%,,Elliot Perry,2,4,33.33%,,,,,,
Dave Feitl,1,2,33.33%,,Dave Piontek,2,4,33.33%,,,,,,
Johnny Dawkins,1,2,33.33%,,Butch Van Breda Kolff,2,4,33.33%,,,,,,
Eric Murdock,1,2,33.33%,,Mike Farmer,2,4,33.33%,,,,,,
Bryant Stith,1,2,33.33%,,Mark Blount,2,4,33.33%,,,,,,
Mahmoud Abdul-Rauf,1,2,33.33%,,Ronnie Price,2,4,33.33%,,,,,,
Anthony Miller,1,2,33.33%,,Hilton Armstrong,2,4,33.33%,,,,,,
Sam Mack,1,2,33.33%,,Josh McRoberts,2,4,33.33%,,,,,,
Reggie Jordan,1,2,33.33%,,Andre Roberson,2,4,33.33%,,,,,,
Lamond Murray,1,2,33.33%,,Tyler Zeller,2,4,33.33%,,,,,,
John Thomas,1,2,33.33%,,Bob Donham,2,4,33.33%,,,,,,
Calvin Booth,1,2,33.33%,,Foots Walker,2,4,33.33%,,,,,,
Jabari Smith Sr,1,2,33.33%,,Coby Dietrick,2,4,33.33%,,,,,,
Eddie Gill,1,2,33.33%,,Randy Livingston,2,4,33.33%,,,,,,
Billy Thomas,1,2,33.33%,,Nenad Krstic,2,4,33.33%,,,,,,
Sarunas Jasikevicius,1,2,33.33%,,Trey Burke,2,4,33.33%,,,,,,
Kelenna Azubuike,1,2,33.33%,,Luke Kennard,2,4,33.33%,,,,,,
Julian Wright,1,2,33.33%,,Bob Hopkins,2,4,33.33%,,,,,,
Solomon Jones,1,2,33.33%,,Isaiah Thomas,2,4,33.33%,,,,,,
Acie Law,1,2,33.33%,,Bill Turner,2,4,33.33%,,,,,,
James Anderson,2,2,50.00%,,Louis Orr,2,4,33.33%,,,,,,
Hasheem Thabeet,2,2,50.00%,,Etan Thomas,2,4,33.33%,,,,,,
John Jenkins,2,2,50.00%,,Ekpe Udoh,2,4,33.33%,,,,,,
Gerald Henderson,1,2,33.33%,,Lester Conner,2,4,33.33%,,,,,,
Ricky Rubio,1,2,33.33%,,Jon Leuer,2,4,33.33%,,,,,,
Juan Hernangomez,1,2,33.33%,,Irv Rothenberg,1,2,33.33%,,,,,,
Matt Thomas,2,2,50.00%,,Cliff Barker,1,2,33.33%,,,,,,
Romeo Langford,2,2,50.00%,,Ralph Beard,1,2,33.33%,,,,,,
Miye Oni,1,2,33.33%,,Alex Groza,1,2,33.33%,,,,,,
Rayjon Tucker,2,2,50.00%,,Red Morrison,1,2,33.33%,,,,,,
Facundo Campazzo,1,2,33.33%,,Ernie DiGregorio,1,2,33.33%,,,,,,
Frank Ntilikina,1,2,33.33%,,Tal Skinner,1,2,33.33%,,,,,,
Brandon Clarke,1,2,33.33%,,Tom Burleson,1,2,33.33%,,,,,,
Skylar Mays,2,2,50.00%,,Al Eberhard,1,2,33.33%,,,,,,
Nathan Knight,2,2,50.00%,,John Shumate,1,2,33.33%,,,,,,
Jalen Pickett,1,2,33.33%,,Mack Calvin,1,2,33.33%,,,,,,
Hunter Tyson,1,2,33.33%,,Mike Green,1,2,33.33%,,,,,,
Russ Lee,1,2,33.33%,,Anthony Roberts,1,2,33.33%,,,,,,
Bob Feerick,1,2,33.33%,,Darnell Hillman,1,2,33.33%,,,,,,
John Oldham,1,2,33.33%,,Bo Ellis,1,2,33.33%,,,,,,
Curly Armstrong,1,2,33.33%,,Edgar Jones,1,2,33.33%,,,,,,
Mel Payton,1,2,33.33%,,Mel Turpin,1,2,33.33%,,,,,,
Ernie Barrett,1,2,33.33%,,Kenny Gattison,1,2,33.33%,,,,,,
Chuck Mencel,1,2,33.33%,,LaPhonso Ellis,1,2,33.33%,,,,,,
Joe Roberts,1,2,33.33%,,Quincy Lewis,1,2,33.33%,,,,,,
Mel Davis,1,2,33.33%,,Andris Biedrins,1,2,33.33%,,,,,,
Rod Derline,1,2,33.33%,,Hamed Haddadi,1,2,33.33%,,,,,,
John Hummer,1,2,33.33%,,Alan Anderson,1,2,33.33%,,,,,,
Don Collins,1,2,33.33%,,Trevor Booker,1,2,33.33%,,,,,,
Ray Tolbert,1,2,33.33%,,Tomas Satoransky,1,2,33.33%,,,,,,
David Wood,1,2,33.33%,,Rodney McGruder,1,2,33.33%,,,,,,
Jason Kapono,1,2,33.33%,,Markelle Fultz,1,2,33.33%,,,,,,
Nando De Colo,1,2,33.33%,,Ben McLemore,1,2,33.33%,,,,,,
Greg Oden,1,2,33.33%,,Immanuel Quickley,1,2,33.33%,,,,,,
Loren Woods,1,2,33.33%,,RJ Barrett,1,2,33.33%,,,,,,
Bobby Simmons,1,2,33.33%,,Ziaire Williams,1,2,33.33%,,,,,,
Will Bynum,1,2,33.33%,,Buddy Hield,1,2,33.33%,,,,,,
Henry Walker,1,2,33.33%,,Julian Strawther,1,2,33.33%,,,,,,
Chris Chiozza,1,2,33.33%,,Barney Cable,1,2,33.33%,,,,,,
Terence Davis,1,2,33.33%,,Larry McNeill,1,2,33.33%,,,,,,
Alize Johnson,1,2,33.33%,,Jack Givens,1,2,33.33%,,,,,,
Elfrid Payton,1,2,33.33%,,Rob Williams,1,2,33.33%,,,,,,
Jock Landale,1,2,33.33%,,Lloyd Daniels,1,2,33.33%,,,,,,
DaQuan Jeffries,1,2,33.33%,,Darrin Hancock,1,2,33.33%,,,,,,
Irv Torgoff,0,2,0.00%,,Eddie Robinson,1,2,33.33%,,,,,,
Ariel Maughan,0,2,0.00%,,AJ Price,1,2,33.33%,,,,,,
Mike Bloom,0,2,0.00%,,Kris Dunn,1,2,33.33%,,,,,,
Don Otten,0,2,0.00%,,Corky Devlin,1,2,33.33%,,,,,,
Don Henriksen,0,2,0.00%,,Kenny Sears,1,2,33.33%,,,,,,
Tom Marshall,0,2,0.00%,,Tommy Byrnes,1,2,33.33%,,,,,,
Bobby Lewis,0,2,0.00%,,Bruce Hale,1,2,33.33%,,,,,,
Shaler Halimon,0,2,0.00%,,Wah Wah Jones,1,2,33.33%,,,,,,
Nick Jones,0,2,0.00%,,Andy Johnson,1,2,33.33%,,,,,,
Lee Winfield,0,2,0.00%,,Jay Arnette,1,2,33.33%,,,,,,
Ron Behagen,0,2,0.00%,,Roger Brown,1,2,33.33%,,,,,,
Scott May,0,2,0.00%,,Tom Abernethy,1,2,33.33%,,,,,,
John Brown,0,2,0.00%,,Stuart Gray,1,2,33.33%,,,,,,
Tim Bassett,0,2,0.00%,,Dave Feitl,1,2,33.33%,,,,,,
Sam Pellom,0,2,0.00%,,Johnny Dawkins,1,2,33.33%,,,,,,
Rudy Macklin,0,2,0.00%,,Eric Murdock,1,2,33.33%,,,,,,
Larry Micheaux,0,2,0.00%,,Bryant Stith,1,2,33.33%,,,,,,
Jawann Oldham,0,2,0.00%,,Mahmoud Abdul-Rauf,1,2,33.33%,,,,,,
Walter Berry,0,2,0.00%,,Anthony Miller,1,2,33.33%,,,,,,
John Morton,0,2,0.00%,,Sam Mack,1,2,33.33%,,,,,,
Tate George,0,2,0.00%,,Reggie Jordan,1,2,33.33%,,,,,,
Kevin Edwards,0,2,0.00%,,Lamond Murray,1,2,33.33%,,,,,,
Rafael Addison,0,2,0.00%,,John Thomas,1,2,33.33%,,,,,,
Pooh Richardson,0,2,0.00%,,Calvin Booth,1,2,33.33%,,,,,,
Elmore Spencer,0,2,0.00%,,Jabari Smith Sr,1,2,33.33%,,,,,,
Rex Walters,0,2,0.00%,,Eddie Gill,1,2,33.33%,,,,,,
Chris Carr,0,2,0.00%,,Billy Thomas,1,2,33.33%,,,,,,
Tyus Edney,0,2,0.00%,,Sarunas Jasikevicius,1,2,33.33%,,,,,,
Chris Whitney,0,2,0.00%,,Kelenna Azubuike,1,2,33.33%,,,,,,
Calbert Cheaney,0,2,0.00%,,Julian Wright,1,2,33.33%,,,,,,
John Wallace,0,2,0.00%,,Solomon Jones,1,2,33.33%,,,,,,
Felipe Lopez,0,2,0.00%,,Acie Law,1,2,33.33%,,,,,,
Jermaine Jackson,0,2,0.00%,,Gerald Henderson,1,2,33.33%,,,,,,
Mike Wilks,0,2,0.00%,,Ricky Rubio,1,2,33.33%,,,,,,
Jiri Welsch,0,2,0.00%,,Juan Hernangomez,1,2,33.33%,,,,,,
Ricky Davis,0,2,0.00%,,Miye Oni,1,2,33.33%,,,,,,
John Lucas III,0,2,0.00%,,Facundo Campazzo,1,2,33.33%,,,,,,
Shavlik Randolph,0,2,0.00%,,Frank Ntilikina,1,2,33.33%,,,,,,
Sean Marks,0,2,0.00%,,Brandon Clarke,1,2,33.33%,,,,,,
Rodrigue Beaubois,0,2,0.00%,,Jalen Pickett,1,2,33.33%,,,,,,
Jordan Hamilton,0,2,0.00%,,Hunter Tyson,1,2,33.33%,,,,,,
Greg Smith (1991),0,2,0.00%,,Russ Lee,1,2,33.33%,,,,,,
Michael Kidd-Gilchrist,0,2,0.00%,,Bob Feerick,1,2,33.33%,,,,,,
Bernard James,0,2,0.00%,,John Oldham,1,2,33.33%,,,,,,
Charlie Villanueva,0,2,0.00%,,Curly Armstrong,1,2,33.33%,,,,,,
Jared Sullinger,0,2,0.00%,,Mel Payton,1,2,33.33%,,,,,,
Joseph Young,0,2,0.00%,,Ernie Barrett,1,2,33.33%,,,,,,
Wade Baldwin,0,2,0.00%,,Chuck Mencel,1,2,33.33%,,,,,,
Jerian Grant,0,2,0.00%,,Joe Roberts,1,2,33.33%,,,,,,
Jabari Parker,0,2,0.00%,,Mel Davis,1,2,33.33%,,,,,,
Gorgui Dieng,0,2,0.00%,,Rod Derline,1,2,33.33%,,,,,,
Rodions Kurucs,0,2,0.00%,,John Hummer,1,2,33.33%,,,,,,
Deonte Burton,0,2,0.00%,,Don Collins,1,2,33.33%,,,,,,
Nassir Little,0,2,0.00%,,Ray Tolbert,1,2,33.33%,,,,,,
Isaac Bonga,0,2,0.00%,,David Wood,1,2,33.33%,,,,,,
Yuta Watanabe,0,2,0.00%,,Jason Kapono,1,2,33.33%,,,,,,
Trey Murphy,0,2,0.00%,,Nando De Colo,1,2,33.33%,,,,,,
Brandon Ingram,0,2,0.00%,,Greg Oden,1,2,33.33%,,,,,,
Jalen Johnson,0,2,0.00%,,Loren Woods,1,2,33.33%,,,,,,
Herb Jones,0,2,0.00%,,Bobby Simmons,1,2,33.33%,,,,,,
Naji Marshall,0,2,0.00%,,Will Bynum,1,2,33.33%,,,,,,
Kessler Edwards,0,2,0.00%,,Henry Walker,1,2,33.33%,,,,,,
Jose Alvarado,0,2,0.00%,,Chris Chiozza,1,2,33.33%,,,,,,
Jaylen Nowell,0,2,0.00%,,Terence Davis,1,2,33.33%,,,,,,
Davion Mitchell,0,2,0.00%,,Alize Johnson,1,2,33.33%,,,,,,
David Roddy,0,2,0.00%,,Elfrid Payton,1,2,33.33%,,,,,,
Santiago Aldama,0,2,0.00%,,Jock Landale,1,2,33.33%,,,,,,
Drew Eubanks,0,2,0.00%,,DaQuan Jeffries,1,2,33.33%,,,,,,
Jaime Jaquez,0,2,0.00%,,Bob Warlick,1,2,33.33%,,,,,,
Andre Jackson,0,2,0.00%,,Greg Kelser,1,2,33.33%,,,,,,
Anthony Black,0,2,0.00%,,Maurice Martin,1,2,33.33%,,,,,,
Kobe Brown,0,2,0.00%,,Brian Quinnett,1,2,33.33%,,,,,,
Shannon Brown,9,2,81.82%,,Matt Carroll,1,2,33.33%,,,,,,
Butch Beard,5,2,71.43%,,Joel Freeland,1,2,33.33%,,,,,,
Bill Calhoun,4,2,66.67%,,Andy Duncan,1,2,33.33%,,,,,,
William Bedford,5,2,71.43%,,Fran Curran,1,2,33.33%,,,,,,
Tyronn Lue,6,2,75.00%,,Bill Tosheff,1,2,33.33%,,,,,,
Omer Yurtseven,5,2,71.43%,,Jim Paxson Sr,1,2,33.33%,,,,,,
Jaden Springer,5,2,71.43%,,Alonzo Bradley,1,2,33.33%,,,,,,
